episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,-86.0,0.54,46.0,238.38,0.45
1,-80.0,0.63,37.0,224.59,0.45
2,28.0,0.34,66.0,52.85,0.33


2,-74.0,0.46,54.0,274.84,0.33
3,-4.0,0.3,70.0,151.67,0.33

33,24.0,0.32,68.0,68.16,0.33

4,-50.0,0.46,54.0,200.27,0.33
4,34.0,0.29,71.0,68.06,0.33

5,40.0,0.29,71.0,60.39,0.33
5,28.0,0.28,72.0,96.91,0.33
6,48.0,0.24,76.0,58.58,0.29
6,48.0,0.23,77.0,59.82,0.29
6,44.0,0.18,82.0,84.7,0.29

7,-2.0,0.34,66.0,130.79,0.31
7,14.0,0.33,67.0,72.4,0.31

7,44.0,0.21,79.0,87.65,0.31
8,38.0,0.23,77.0,79.42,0.3
8,34.0,0.3,70.0,32.1,0.3



8,20.0,0.3,70.0,97.1,0.3
9,58.0,0.15,85.0,57.85,0.3
9,24.0,0.32,68.0,80.77,0.3
10,40.0,0.26,74.0,46.81,0.3
10,46.0,0.17,83.0,74.85,0.3

10,14.0,0.37,63.0,111.01,0.3
11,44.0,0.22,78.0,85.83,0.29
11,6.0,0.4,60.0,76.89,0.29

11,24.0,0.22,78.0,92.57,0.29
11,32.0,0.21,79.0,95.1,0.29
12,48.0,0.23,77.0,40.79,0.29
12,42.0,0.24,76.0,45.24,0.29
12,54.0,0.2,80.0,44.01,0.29

13,62.0,0.17,83.0,35.26,0.33
13,64.0,0.1,90.0,63.91,0.33

13,16.0,0.29,71.0,125.52,0.33
14,50.0,0.12,88.0,67.23,0.28
4,64.0,0.16,84.0,45.62,0.28
14,2.0,0.39,61.0,105.19,0.28
15,52.0,0.17,83.0,56.68,0.29
15,50.0,0.19,81.0,77.5,0.29

16,70.0,0.15,85.0,24.37,0.32
16,30.0,0.28,72.0,65.24,0.32
17,68.0,0.11,89.0,47.36,0.28
17,62.0,0.15,85.0,51.18,0.28
17,66.0,0.14,86.0,31.15,0.28
18,34.0,0.28,72.0,59.19,0.31
18,44.0,0.26,74.0,64.7,0.31
19,64.0,0.1,90.0,44.77,0.29

19,70.0,0.14,86.0,37.29,0.29
19,54.0,0.15,85.0,59.28,0.29
20,68.0,0.05,95.0,88.59,0.31
20,70.0,0.13,87.0,43.95,0.31
20,56.0,0.16,84.0,49.96,0.31
20,36.0,0.3,70.0,41.24,0.31
21,62.0,0.12,88.0,81.86,0.28
21,66.0,0.16,84.0,34.26,0.28
21,72.0,0.02,98.0,58.44,0.28
22,70.0,0.12,88.0,34.26,0.3
22,34.0,0.3,70.0,43.85,0.3

23,30.0,0.29,71.0,70.42,0.31
23,72.0,0.09,91.0,56.16,0.31
24,64.0,0.14,86.0,34.13,0.28
24,76.0,0.1,90.0,40.17,0.28

24,64.0,0.14,86.0,48.2,0.28
25,80.0,0.07,93.0,28.35,0.32
25,44.0,0.25,75.0,35.28,0.32
25,60.0,0.12,88.0,54.36,0.32
26,60.0,0.15,85.0,43.39,0.27
26,74.0,0.1,90.0,45.25,0.27

27,34.0,0.3,70.0,59.81,0.28

27,44.0,0.19,81.0,60.13,0.28
28,48.0,0.24,76.0,51.36,0.28
28,68.0,0.14,86.0,74.01,0.28

29,60.0,0.13,87.0,50.86,0.29
29,80.0,0.07,93.0,43.71,0.29
30,84.0,0.04,96.0,43.67,0.31
30,66.0,0.09,91.0,51.62,0.31
31,54.0,0.21,79.0,25.78,0.29
31,62.0,0.15,85.0,37.62,0.3

31,68.0,0.13,87.0,39.19,0.29
32,38.0,0.25,75.0,67.44,0.29
32,26.0,0.29,71.0,97.02,0.29

33,48.0,0.17,83.0,72.48,0.29

33,44.0,0.2,80.0,67.79,0.29
33,66.0,0.13,87.0,39.27,0.29
34,76.0,0.08,92.0,36.14,0.28
34,46.0,0.17,83.0,103.24,0.28
34,58.0,0.18,82.0,53.35,0.28
35,78.0,0.09,91.0,26.41,0.28
35,80.0,0.08,92.0,46.11,0.28
35,74.0,0.05,95.0,68.13,0.28
35,66.0,0.1,90.0,63.38,0.28
36,78.0,0.05,95.0,57.72,0.28
36,74.0,0.09,91.0,45.75,0.28
36,58.0,0.17,83.0,52.02,0.28
37,76.0,0.12,88.0,30.22,0.29
37,68.0,0.16,84.0,28.67,0.29
38,56.0,0.17,83.0,36.34,0.32
38,76.0,0.08,92.0,38.32,0.32

39,60.0,0.17,83.0,49.96,0.3
339,68.0,0.04,96.0,72.57,0.3
40,48.0,0.19,81.0,57.81,0.32
40,46.0,0.19,81.0,52.78,0.32
40,62.0,0.13,87.0,77.4,0.32
41,80.0,0.09,91.0,36.42,0.28
41,52.0,0.19,81.0,42.3,0.29

42,64.0,0.13,87.0,85.52,0.3
42,44.0,0.14,86.0,103.37,0.3
42,68.0,0.14,86.0,70.62,0.3
43,30.0,0.31,69.0,81.6,0.28

43,58.0,0.08,92.0,77.68,0.28
43,68.0,0.12,88.0,31.72,0.28
44,64.0,0.13,87.0,54.88,0.33
44,76.0,0.08,92.0,51.12,0.33

45,82.0,0.05,95.0,65.96,0.29
45,40.0,0.26,74.0,58.44,0.29
46,70.0,0.12,88.0,60.39,0.3
46,76.0,0.08,92.0,41.52,0.3
46,86.0,0.05,95.0,25.26,0.3
46,68.0,0.12,88.0,40.12,0.3
46,74.0,0.06,94.0,59.45,0.3
47,76.0,0.1,90.0,40.53,0.28

47,56.0,0.18,82.0,74.33,0.28
48,84.0,0.07,93.0,37.37,0.29
48,70.0,0.11,89.0,61.71,0.29
49,78.0,0.01,99.0,49.81,0.3
49,74.0,0.07,93.0,54.17,0.3
49,76.0,0.04,96.0,59.88,0.3
50,86.0,0.05,95.0,30.95,0.27
50,60.0,0.13,87.0,51.77,0.27
51,86.0,0.04,96.0,44.47,0.32
51,30.0,0.31,69.0,53.24,0.32
51,32.0,0.3,70.0,47.55,0.32
51,72.0,0.13,87.0,28.04,0.32
52,96.0,0.0,100.0,23.64,0.28
52,76.0,0.1,90.0,18.28,0.28

52,72.0,0.1,90.0,62.91,0.28

53,62.0,0.14,86.0,57.59,0.28
53,68.0,0.14,86.0,34.94,0.28
54,62.0,0.19,81.0,54.39,0.3
54,72.0,0.13,87.0,49.33,0.3
54,80.0,0.06,94.0,35.58,0.3
55,82.0,0.07,93.0,36.96,0.29
55,68.0,0.14,86.0,42.69,0.28
55,32.0,0.28,72.0,59.63,0.28
55,94.0,0.01,99.0,44.84,0.28
56,72.0,0.1,90.0,44.32,0.33

56,68.0,0.13,87.0,61.37,0.33
57,50.0,0.2,80.0,72.81,0.28

57,36.0,0.22,78.0,72.27,0.28
57,48.0,0.11,89.0,83.88,0.28
58,76.0,0.11,89.0,32.25,0.29
58,86.0,0.06,94.0,23.57,0.29
59,74.0,0.11,89.0,25.05,0.3
59,70.0,0.11,89.0,30.54,0.3
59,42.0,0.26,74.0,49.77,0.3
59,82.0,0.07,93.0,42.44,0.3
60,66.0,0.13,87.0,58.65,0.29
660,56.0,0.16,84.0,54.7,0.29
,38.0,0.2,80.0,87.42,0.29
61,56.0,0.15,85.0,82.23,0.29
61,68.0,0.05,95.0,69.62,0.29
62,84.0,0.07,93.0,51.57,0.34
62,76.0,0.09,91.0,37.58,0.34
662,96.0,0.02,98.0,29.65,0.34
63,60.0,0.13,87.0,46.7,0.32

63,74.0,0.04,96.0,66.34,0.32

63,84.0,0.05,95.0,54.06,0.32
64,88.0,0.03,97.0,27.46,0.32
64,88.0,0.06,94.0,18.72,0.32
64,74.0,0.08,92.0,41.28,0.32
65,34.0,0.24,76.0,87.25,0.35
65,82.0,0.05,95.0,43.02,0.35
66,76.0,0.08,92.0,49.8,0.42

66,60.0,0.18,82.0,54.74,0.42
66,82.0,0.03,97.0,62.23,0.42
67,86.0,0.06,94.0,37.86,0.31
67,72.0,0.13,87.0,34.26,0.31
67,76.0,0.1,90.0,42.94,0.31
68,48.0,0.24,76.0,42.23,0.35
69,84.0,0.08,92.0,19.23,0.29
69,86.0,0.02,98.0,47.62,0.29
70,48.0,0.2,80.0,60.11,0.28

70,74.0,0.12,88.0,31.44,0.28
70,76.0,0.12,88.0,26.57,0.28
70,50.0,0.18,82.0,70.62,0.28
71,86.0,0.02,98.0,68.95,0.3
71,78.0,0.06,94.0,36.3,0.3
71,74.0,0.11,89.0,41.03,0.3
72,66.0,0.16,84.0,45.49,0.31
72,60.0,0.13,87.0,49.9,0.31

72,78.0,0.06,94.0,66.66,0.31
73,32.0,0.26,74.0,60.87,0.28
73,90.0,0.02,98.0,49.79,0.28
74,72.0,0.11,89.0,27.94,0.29
74,86.0,0.07,93.0,16.15,0.29
74,30.0,0.26,74.0,85.31,0.29
75,70.0,0.06,94.0,59.64,0.29
775,94.0,0.0,100.0,36.12,0.29
76,88.0,0.04,96.0,22.6,0.28

76,42.0,0.29,71.0,57.21,0.28
76,90.0,0.04,96.0,33.13,0.28
77,72.0,0.08,92.0,50.53,0.29
77,64.0,0.06,94.0,66.83,0.29
77,84.0,0.06,94.0,21.97,0.29
78,94.0,0.01,99.0,46.3,0.28

78,56.0,0.17,83.0,62.5,0.28

79,84.0,0.06,94.0,33.67,0.3
79,88.0,0.05,95.0,35.15,0.3
79,60.0,0.19,81.0,34.69,0.3
80,92.0,0.02,98.0,47.77,0.29
81,84.0,0.05,95.0,37.1,0.31

81,76.0,0.06,94.0,70.33,0.31
81,60.0,0.13,87.0,67.52,0.31
81,94.0,0.01,99.0,52.41,0.31
82,66.0,0.09,91.0,50.1,0.3

2,58.0,0.2,80.0,50.38,0.3
83,82.0,0.02,98.0,37.84,0.3
83,42.0,0.24,76.0,74.49,0.3
84,70.0,0.14,86.0,40.74,0.33
84,40.0,0.23,77.0,74.46,0.33
84,60.0,0.16,84.0,49.29,0.33
85,82.0,0.03,97.0,57.4,0.31

85,80.0,0.02,98.0,57.57,0.31
85,78.0,0.08,92.0,40.68,0.31
5,72.0,0.11,89.0,70.21,0.31
86,98.0,0.01,99.0,34.22,0.3
87,82.0,0.03,97.0,38.31,0.33
87,90.0,0.04,96.0,37.74,0.33
88,88.0,0.06,94.0,35.4,0.32

88,86.0,0.05,95.0,33.35,0.32
88,72.0,0.14,86.0,24.88,0.32
89,42.0,0.24,76.0,58.57,0.31
89,66.0,0.15,85.0,26.94,0.31
89,70.0,0.11,89.0,49.26,0.31
90,70.0,0.11,89.0,38.42,0.3
90,82.0,0.05,95.0,62.54,0.3
90,64.0,0.11,89.0,41.19,0.3
91,80.0,0.07,93.0,47.2,0.3

91,86.0,0.05,95.0,19.32,0.3
92,88.0,0.04,96.0,38.84,0.33
92,70.0,0.12,88.0,29.68,0.33
92,66.0,0.15,85.0,36.31,0.33
92,58.0,0.17,83.0,58.62,0.33
93,86.0,0.06,94.0,20.77,0.29
93,62.0,0.15,85.0,45.11,0.29
94,86.0,0.05,95.0,61.31,0.28
94,88.0,0.05,95.0,28.3,0.28

94,14.0,0.31,69.0,101.75,0.28
95,78.0,0.06,94.0,42.03,0.28
95,90.0,0.04,96.0,45.38,0.28
96,78.0,0.04,96.0,45.23,0.29
96,94.0,0.02,98.0,22.52,0.29
96,76.0,0.07,93.0,37.22,0.29
97,66.0,0.09,91.0,41.38,0.28
97,90.0,0.05,95.0,14.25,0.28
97,8.0,0.33,67.0,85.13,0.28
98,90.0,0.03,97.0,29.93,0.32
98,88.0,0.06,94.0,22.43,0.32
98,86.0,0.06,94.0,24.64,0.32
99,86.0,0.04,96.0,36.93,0.3
99,90.0,0.03,97.0,23.57,0.3
100,66.0,0.12,88.0,47.21,0.28
100,66.0,0.12,88.0,41.61,0.28

100,80.0,0.09,91.0,25.11,0.28
101,84.0,0.07,93.0,33.58,0.28
101,66.0,0.07,93.0,49.14,0.28
102,46.0,0.25,75.0,30.69,0.29
102,30.0,0.32,68.0,31.81,0.29
103,64.0,0.04,96.0,72.45,0.28
103,98.0,0.01,99.0,14.39,0.28
103,92.0,0.02,98.0,34.13,0.28
104,92.0,0.04,96.0,17.74,0.29
104,96.0,0.01,99.0,37.44,0.29
104,72.0,0.12,88.0,29.39,0.29
105,56.0,0.2,80.0,30.23,0.28

105,90.0,0.05,95.0,16.09,0.28
105,90.0,0.05,95.0,20.23,0.28
106,88.0,0.01,99.0,27.76,0.28
106,94.0,0.03,97.0,18.71,0.28
106,30.0,0.19,81.0,99.2,0.28
107,82.0,0.06,94.0,32.21,0.28
107,78.0,0.05,95.0,49.21,0.28
107,90.0,0.04,96.0,22.01,0.28
108,64.0,0.16,84.0,19.09,0.27
108,92.0,0.01,99.0,37.53,0.27
108,84.0,0.06,94.0,27.64,0.27
109,72.0,0.1,90.0,41.18,0.27

109,66.0,0.11,89.0,57.02,0.27
109,88.0,0.03,97.0,43.26,0.27
110,86.0,0.07,93.0,15.6,0.29
110,84.0,0.04,96.0,25.25,0.29
110,88.0,0.06,94.0,29.69,0.29
111,60.0,0.17,83.0,45.32,0.32
111,54.0,0.17,83.0,61.58,0.32
112,56.0,0.17,83.0,44.94,0.29
112,88.0,0.03,97.0,42.71,0.29
112,76.0,0.05,95.0,50.01,0.29
112,66.0,0.14,86.0,36.11,0.29
113,96.0,0.01,99.0,30.97,0.28
113,84.0,0.04,96.0,30.73,0.28
113,84.0,0.06,94.0,25.31,0.28
113,56.0,0.2,80.0,46.5,0.28

114,84.0,0.06,94.0,33.56,0.3
114,82.0,0.03,97.0,35.37,0.3
115,84.0,0.08,92.0,41.45,0.29
115,82.0,0.06,94.0,50.71,0.29
115,66.0,0.15,85.0,22.79,0.29
115,98.0,0.01,99.0,27.43,0.29
115,60.0,0.14,86.0,55.65,0.29
116,62.0,0.18,82.0,22.07,0.27
116,88.0,0.03,97.0,24.07,0.27
116,84.0,0.05,95.0,34.61,0.27
116,98.0,0.01,99.0,25.39,0.27
117,68.0,0.1,90.0,66.68,0.27

117,90.0,0.04,96.0,30.63,0.27
118,84.0,0.07,93.0,30.39,0.28
118,82.0,0.08,92.0,23.42,0.28
118,86.0,0.04,96.0,38.23,0.28
118,92.0,0.03,97.0,30.63,0.28
119,92.0,0.03,97.0,28.13,0.27
119,86.0,0.06,94.0,21.82,0.27
119,90.0,0.02,98.0,37.27,0.27
119,90.0,0.05,95.0,17.84,0.27
120,98.0,0.0,100.0,22.37,0.28
120,52.0,0.17,83.0,36.36,0.28
121,56.0,0.18,82.0,52.03,0.28
121,84.0,0.07,93.0,29.92,0.28
121,86.0,0.06,94.0,30.98,0.28
122,88.0,0.04,96.0,53.67,0.27
122,44.0,0.27,73.0,52.08,0.27
122,92.0,0.04,96.0,23.7,0.27
123,96.0,0.0,100.0,21.18,0.27
123,76.0,0.06,94.0,46.09,0.27
123,86.0,0.05,95.0,37.22,0.27
123,96.0,0.01,99.0,51.2,0.27
123,52.0,0.2,80.0,50.48,0.27
123,58.0,0.17,83.0,64.04,0.27
123,94.0,0.01,99.0,24.3,0.27
124,88.0,0.06,94.0,18.41,0.28
124,94.0,0.02,98.0,20.8,0.28

124,96.0,0.01,99.0,23.96,0.28
125,68.0,0.12,88.0,52.16,0.26
125,52.0,0.14,86.0,75.41,0.26
125,86.0,0.02,98.0,48.84,0.26
126,84.0,0.05,95.0,29.45,0.28
126,90.0,0.04,96.0,26.93,0.28
127,84.0,0.04,96.0,38.74,0.27
127,62.0,0.15,85.0,50.0,0.27

127,92.0,0.04,96.0,32.22,0.27
128,78.0,0.11,89.0,28.03,0.28
128,92.0,0.03,97.0,28.93,0.28
129,90.0,0.04,96.0,29.13,0.27
129,68.0,0.14,86.0,25.53,0.27
129,86.0,0.02,98.0,41.02,0.27
130,96.0,0.0,100.0,26.89,0.3
130,60.0,0.13,87.0,49.54,0.3
130,86.0,0.07,93.0,12.0,0.3

131,88.0,0.04,96.0,27.88,0.28
1131,92.0,0.04,96.0,21.06,0.28
132,84.0,0.08,92.0,25.18,0.27
132,88.0,0.04,96.0,28.21,0.27
132,82.0,0.03,97.0,38.21,0.27
133,94.0,0.02,98.0,17.88,0.27
133,88.0,0.06,94.0,5.12,0.27


134,90.0,0.01,99.0,27.25,0.28
134,86.0,0.03,97.0,34.53,0.28
134,92.0,0.0,100.0,30.5,0.28
135,84.0,0.01,99.0,37.79,0.27
136,80.0,0.08,92.0,36.78,0.29
136,86.0,0.04,96.0,32.83,0.29
137,92.0,0.0,100.0,31.93,0.27
137,84.0,0.01,99.0,46.74,0.27
138,96.0,0.0,100.0,23.93,0.27
138,60.0,0.18,82.0,24.87,0.27
138,94.0,0.01,99.0,30.3,0.27
139,72.0,0.07,93.0,43.07,0.27
139,84.0,0.06,94.0,35.36,0.27
140,70.0,0.02,98.0,68.81,0.27
140,98.0,0.01,99.0,7.57,0.27

141,78.0,0.11,89.0,23.85,0.28
141,70.0,0.14,86.0,39.79,0.28
141,84.0,0.04,96.0,26.4,0.28
142,80.0,0.06,94.0,27.09,0.27
142,92.0,0.03,97.0,19.86,0.27
143,68.0,0.1,90.0,47.02,0.26

143,82.0,0.08,92.0,27.55,0.26
144,92.0,0.02,98.0,32.74,0.27
144,92.0,0.02,98.0,19.68,0.27
144,82.0,0.02,98.0,38.3,0.27
144,76.0,0.1,90.0,45.81,0.27
145,88.0,0.04,96.0,24.68,0.27
145,90.0,0.05,95.0,14.49,0.27
146,66.0,0.1,90.0,59.34,0.28

147,78.0,0.02,98.0,43.93,0.29
147,40.0,0.27,73.0,58.46,0.29
147,92.0,0.04,96.0,33.02,0.29
148,-80.0,0.56,44.0,248.5,0.29
148,36.0,0.3,70.0,41.37,0.29

148,82.0,0.07,93.0,36.47,0.29
149,70.0,0.13,87.0,22.38,0.29
149,90.0,0.04,96.0,7.9,0.29

149,78.0,0.03,97.0,36.87,0.29
150,76.0,0.11,89.0,23.01,0.27
150,64.0,0.18,82.0,18.74,0.27
151,98.0,0.01,99.0,5.8,0.28

151,64.0,0.13,87.0,32.83,0.28

151,4.0,0.31,69.0,97.14,0.28
152,92.0,0.04,96.0,11.84,0.3
152,-78.0,0.49,51.0,270.79,0.3
153,94.0,0.03,97.0,13.56,0.29
153,92.0,0.02,98.0,18.98,0.29
154,86.0,0.06,94.0,14.7,0.27

154,94.0,0.02,98.0,12.99,0.27
155,86.0,0.02,98.0,37.16,0.28
155,52.0,0.21,79.0,52.22,0.28
155,88.0,0.04,96.0,35.46,0.28
155,90.0,0.04,96.0,23.47,0.28
155,86.0,0.03,97.0,28.74,0.28
156,82.0,0.05,95.0,47.34,0.27
156,84.0,0.02,98.0,30.57,0.27
157,46.0,0.17,83.0,71.07,0.26
157,94.0,0.02,98.0,23.01,0.26

158,68.0,0.14,86.0,21.57,0.27
158,40.0,0.17,83.0,80.82,0.27
158,60.0,0.18,82.0,32.37,0.27
159,90.0,0.01,99.0,32.9,0.26

159,90.0,0.05,95.0,8.48,0.26

159,86.0,0.03,97.0,30.03,0.26
160,98.0,0.01,99.0,9.8,0.3

3
160,78.0,0.08,92.0,24.77,0.3
161,86.0,0.05,95.0,17.01,0.28

161,84.0,0.0,100.0,49.34,0.28
161,28.0,0.29,71.0,57.69,0.28
162,90.0,0.03,97.0,31.7,0.26

162,72.0,0.14,86.0,16.31,0.26
162,62.0,0.18,82.0,15.93,0.26
163,90.0,0.02,98.0,16.35,0.26
163,80.0,0.1,90.0,23.14,0.26
163,62.0,0.16,84.0,27.65,0.26
164,84.0,0.06,94.0,14.4,0.26

164,68.0,0.15,85.0,8.44,0.26

165,62.0,0.16,84.0,33.43,0.31

165,80.0,0.05,95.0,41.68,0.31
166,92.0,0.04,96.0,8.42,0.28

166,94.0,0.02,98.0,37.96,0.28
167,82.0,0.06,94.0,29.98,0.27
167,82.0,0.07,93.0,31.91,0.27
168,88.0,0.06,94.0,18.6,0.29

168,56.0,0.21,79.0,21.47,0.29
169,66.0,0.1,90.0,38.94,0.29
9
169,86.0,0.03,97.0,14.13,0.29
169,62.0,0.17,83.0,34.88,0.29
169,94.0,0.02,98.0,18.69,0.29
169,98.0,0.0,100.0,22.05,0.29
169,8.0,0.28,72.0,84.68,0.29
170,86.0,0.06,94.0,21.25,0.28
170,92.0,0.04,96.0,5.55,0.27

171,86.0,0.04,96.0,22.19,0.29
171,56.0,0.19,81.0,33.86,0.29
171,58.0,0.17,83.0,36.04,0.29
171,60.0,0.15,85.0,61.05,0.29
172,96.0,0.02,98.0,12.67,0.28
1172,92.0,0.04,96.0,6.89,0.28

173,60.0,0.19,81.0,50.06,0.28
173,68.0,0.14,86.0,24.79,0.28
173,44.0,0.17,83.0,52.28,0.28
174,58.0,0.12,88.0,61.02,0.3
174,52.0,0.23,77.0,41.45,0.3
174,84.0,0.03,97.0,32.95,0.3
175,98.0,0.01,99.0,23.74,0.28
1175,96.0,0.01,99.0,17.04,0.28
176,94.0,0.0,100.0,25.96,0.27
176,32.0,0.27,73.0,53.22,0.27
176,98.0,0.01,99.0,11.36,0.27
177,98.0,0.0,100.0,4.39,0.27

177,88.0,0.05,95.0,28.18,0.27
177,88.0,0.05,95.0,22.03,0.27
177,46.0,0.1,90.0,66.43,0.27
177,20.0,0.37,63.0,37.98,0.27
178,88.0,0.0,100.0,57.66,0.27
178,96.0,0.01,99.0,19.04,0.27
179,84.0,0.05,95.0,26.65,0.29
179,90.0,0.03,97.0,19.4,0.29

179,92.0,0.0,100.0,30.98,0.29
180,82.0,0.03,97.0,30.93,0.27
180,94.0,0.03,97.0,28.93,0.27
180,90.0,0.01,99.0,25.17,0.27
181,92.0,0.03,97.0,22.27,0.3
181,66.0,0.17,83.0,29.9,0.3
181,50.0,0.24,76.0,29.9,0.3

182,94.0,0.02,98.0,12.18,0.32
182,92.0,0.04,96.0,15.05,0.32
182,86.0,0.06,94.0,16.01,0.32
182,80.0,0.1,90.0,10.39,0.32
183,92.0,0.02,98.0,19.32,0.3
183,96.0,0.01,99.0,15.97,0.3
183,82.0,0.06,94.0,31.31,0.3
184,96.0,0.01,99.0,15.88,0.33
184,88.0,0.0,100.0,29.77,0.33
185,88.0,0.01,99.0,45.82,0.35
185,82.0,0.05,95.0,35.31,0.35
185,62.0,0.18,82.0,17.38,0.35
186,98.0,0.01,99.0,13.52,0.32
186,92.0,0.0,100.0,25.34,0.31
186,84.0,0.06,94.0,24.27,0.31
187,64.0,0.13,87.0,64.06,0.28
187,90.0,0.02,98.0,40.25,0.28
188,96.0,0.02,98.0,16.25,0.28
188,70.0,0.13,87.0,34.66,0.28
188,90.0,0.04,96.0,31.1,0.28
188,32.0,0.32,68.0,43.87,0.28
189,96.0,0.02,98.0,13.63,0.28
189,88.0,0.04,96.0,28.55,0.28
189,96.0,0.02,98.0,1.26,0.28

190,94.0,0.03,97.0,21.75,0.27

190,88.0,0.06,94.0,12.27,0.27
190,90.0,0.04,96.0,9.12,0.27
191,94.0,0.02,98.0,24.16,0.32
191,84.0,0.03,97.0,49.23,0.32
192,80.0,0.05,95.0,44.43,0.27
192,94.0,0.01,99.0,13.07,0.27
192,84.0,0.06,94.0,24.06,0.27
193,44.0,0.22,78.0,43.57,0.27
193,92.0,0.01,99.0,20.46,0.27
194,90.0,0.03,97.0,52.08,0.3
194,86.0,0.06,94.0,11.58,0.3
194,94.0,0.01,99.0,30.0,0.3

195,96.0,0.0,100.0,26.93,0.27
195,98.0,0.01,99.0,23.45,0.27
196,92.0,0.04,96.0,6.94,0.27

196,84.0,0.04,96.0,24.34,0.27
197,98.0,0.0,100.0,22.15,0.27
197,84.0,0.05,95.0,34.01,0.27
197,82.0,0.03,97.0,39.73,0.27
197,100.0,0.0,100.0,14.76,0.27
198,92.0,0.03,97.0,15.49,0.28
198,82.0,0.05,95.0,42.38,0.28
198,100.0,0.0,100.0,10.97,0.28
198,82.0,0.04,96.0,32.96,0.28
198,86.0,0.02,98.0,36.07,0.28
198,88.0,0.01,99.0,30.26,0.28
199,98.0,0.0,100.0,12.54,0.29
200,52.0,0.13,87.0,71.12,0.28
200,82.0,0.03,97.0,36.44,0.28
201,88.0,0.04,96.0,15.48,0.28
201,96.0,0.02,98.0,11.41,0.28

202,94.0,0.01,99.0,35.1,0.29

202,60.0,0.17,83.0,27.72,0.29
202,76.0,0.06,94.0,52.81,0.29
202,62.0,0.19,81.0,39.14,0.29
202,82.0,0.07,93.0,20.69,0.29
202,94.0,0.03,97.0,6.4,0.29
203,84.0,0.03,97.0,19.9,0.28

203,74.0,0.13,87.0,10.44,0.28
204,68.0,0.01,99.0,55.13,0.27
204,94.0,0.01,99.0,29.58,0.27
204,88.0,0.02,98.0,47.48,0.27
205,90.0,0.01,99.0,36.87,0.28
205,88.0,0.04,96.0,31.58,0.28
206,66.0,0.15,85.0,36.68,0.27
06,90.0,0.0,100.0,36.41,0.27
207,96.0,0.01,99.0,22.44,0.31
207,84.0,0.03,97.0,34.69,0.31
2207,82.0,0.03,97.0,34.84,0.31
208,90.0,0.01,99.0,34.19,0.3
208,84.0,0.03,97.0,34.28,0.3
208,88.0,0.03,97.0,22.13,0.3
209,100.0,0.0,100.0,13.62,0.29
210,88.0,0.04,96.0,20.9,0.31

211,96.0,0.02,98.0,18.21,0.27
211,96.0,0.02,98.0,27.64,0.27
211,82.0,0.02,98.0,41.89,0.27
212,96.0,0.02,98.0,24.16,0.28
213,72.0,0.05,95.0,47.15,0.29
213,82.0,0.08,92.0,21.31,0.29

214,66.0,0.17,83.0,29.38,0.28
214,68.0,0.16,84.0,28.91,0.28

