1,-18.0,0.59,41.0,190.06,5.87,0.32
1,-30.0,0.65,35.0,174.36,5.74,0.32
1,4.0,0.48,52.0,183.51,5.75,0.32
1,-8.0,0.54,46.0,167.9,5.77,0.32

2,18.0,0.36,64.0,87.28,5.35,0.3
2,26.0,0.36,64.0,86.81,2.15,0.3

3,-12.0,0.51,49.0,167.4,7.08,0.31
,3,32.0,0.31,69.0,91.38,4.17,0.31

3,18.0,0.35,65.0,199.86,2.92,0.31
4,18.0,0.41,59.0,130.28,11.15,0.3
5,52.0,0.21,79.0,116.76,4.46,0.295,30.0,0.31,69.0,125.62,6.09,0.29
6,52.0,0.19,81.0,31.36,5.89,0.29
6,22.0,0.3,70.0,49.54,4.8,0.29


7,38.0,0.27,73.0,107.72,7.74,0.287,46.0,0.2,80.0,67.28,3.81,0.28

7,56.0,0.2,80.0,42.66,8.39,0.28
8,54.0,0.2,80.0,137.04,7.72,0.288,46.0,0.21,79.0,90.1,3.34,0.28

9,56.0,0.19,81.0,97.93,5.56,0.29

9,22.0,0.35,65.0,174.18,7.29,0.29
9,40.0,0.27,73.0,70.12,4.3,0.28
10,8.0,0.46,54.0,206.68,11.3,0.29
10,44.0,0.26,74.0,130.88,2.24,0.3

11,42.0,0.25,75.0,75.04,7.77,0.28
11,70.0,0.1,90.0,63.59,11.18,0.28
11,66.0,0.13,87.0,45.57,5.03,0.28
12,2.0,0.39,61.0,125.62,1.37,0.3

12,60.0,0.19,81.0,33.16,4.43,0.3

13,74.0,0.13,87.0,27.58,12.68,0.28
13,-16.0,0.47,53.0,162.01,1.27,0.2813,72.0,0.12,88.0,65.22,12.14,0.28
14,48.0,0.21,79.0,92.23,8.01,0.27

14,68.0,0.09,91.0,50.18,4.87,0.27
15,80.0,0.1,90.0,61.1,11.32,0.27


15,66.0,0.14,86.0,54.76,5.88,0.27

16,82.0,0.06,94.0,17.2,11.84,0.27

16,36.0,0.26,74.0,67.38,5.05,0.27

17,60.0,0.15,85.0,58.92,3.37,0.29

17,76.0,0.1,90.0,29.91,5.49,0.29


18,74.0,0.12,88.0,62.46,5.54,0.28

18,88.0,0.04,96.0,43.84,14.32,0.28
18,74.0,0.09,91.0,46.7,12.23,0.28
19,74.0,0.13,87.0,78.66,11.27,0.3
19,88.0,0.06,94.0,81.0,15.4,0.3
19,92.0,0.03,97.0,15.01,13.4,0.3

20,98.0,0.0,100.0,39.94,13.43,0.3
20,88.0,0.03,97.0,72.59,12.41,0.320,96.0,0.01,99.0,40.43,14.75,0.3
20,94.0,0.02,98.0,38.39,12.51,0.3
21,100.0,0.0,100.0,47.49,13.09,0.31
1,72.0,0.1,90.0,56.56,13.03,0.31
21,98.0,0.01,99.0,57.7,14.59,0.31
22,88.0,0.06,94.0,48.61,15.49,0.3
22,74.0,0.13,87.0,53.31,6.13,0.3

22,48.0,0.17,83.0,48.33,5.16,0.3
23,92.0,0.03,97.0,32.51,14.03,0.3

23,96.0,0.02,98.0,28.31,14.18,0.3
24,74.0,0.07,93.0,65.99,3.27,0.33

24,94.0,0.01,99.0,37.73,12.62,0.33
24,82.0,0.09,91.0,43.34,7.15,0.33
25,94.0,0.03,97.0,55.0,7.93,0.33

5,98.0,0.0,100.0,52.95,14.06,0.33
25,100.0,0.0,100.0,37.35,13.39,0.33
26,98.0,0.01,99.0,9.1,15.85,0.28


26,94.0,0.02,98.0,28.73,7.08,0.28
26,96.0,0.01,99.0,44.34,6.65,0.28
26,62.0,0.09,91.0,43.56,2.69,0.28
27,88.0,0.03,97.0,43.03,7.37,0.28

27,100.0,0.0,100.0,46.31,15.58,0.28
28,88.0,0.01,99.0,76.2,11.8,0.31

28,100.0,0.0,100.0,86.62,15.7,0.3128,88.0,0.0,100.0,62.51,6.6,0.31

29,98.0,0.0,100.0,53.02,14.84,0.31
29,86.0,0.01,99.0,44.45,5.61,0.31
30,94.0,0.02,98.0,62.94,6.78,0.29

31,100.0,0.0,100.0,31.58,15.4,0.33
31,100.0,0.0,100.0,64.54,15.5,0.33

31,98.0,0.0,100.0,47.25,13.24,0.33

32,100.0,0.0,100.0,38.8,15.62,0.3
32,84.0,0.08,92.0,58.96,6.22,0.3

33,92.0,0.01,99.0,64.26,7.27,0.3

33,92.0,0.04,96.0,94.35,13.89,0.3
33,100.0,0.0,100.0,26.16,15.7,0.3
34,98.0,0.0,100.0,28.98,14.4,0.32

34,90.0,0.02,98.0,34.53,14.38,0.32
35,98.0,0.01,99.0,38.8,14.11,0.29
3535,100.0,0.0,100.0,41.29,13.5,0.29
36,90.0,0.01,99.0,56.65,6.06,0.26
36,98.0,0.01,99.0,45.53,13.88,0.26
36,88.0,0.02,98.0,44.25,5.87,0.27


36,92.0,0.04,96.0,18.8,15.62,0.26
37,94.0,0.01,99.0,48.88,6.55,0.33
37,96.0,0.02,98.0,19.64,7.47,0.33

37,72.0,0.07,93.0,38.04,2.75,0.33
38,80.0,0.04,96.0,36.78,3.29,0.36

38,100.0,0.0,100.0,54.17,7.72,0.36
38,100.0,0.0,100.0,28.63,15.68,0.36
39,100.0,0.0,100.0,47.03,15.86,0.3
39,86.0,0.01,99.0,101.14,3.51,0.3
40,94.0,0.01,99.0,26.44,14.48,0.31

40,100.0,0.0,100.0,66.68,8.0,0.31
40,100.0,0.0,100.0,29.73,14.58,0.31
40,78.0,0.08,92.0,62.36,6.36,0.31
41,98.0,0.0,100.0,44.99,15.38,0.32
41,100.0,0.0,100.0,54.46,14.64,0.32
41,98.0,0.0,100.0,69.44,7.32,0.32
42,98.0,0.0,100.0,65.44,15.78,0.35

42,72.0,0.08,92.0,88.46,2.74,0.35

42,100.0,0.0,100.0,64.41,16.0,0.35
43,98.0,0.01,99.0,54.87,16.0,0.31


43,82.0,0.05,95.0,61.63,6.54,0.31

43,98.0,0.01,99.0,34.76,15.64,0.31
44,98.0,0.01,99.0,13.74,7.66,0.38
44,96.0,0.02,98.0,38.57,15.84,0.38

45,94.0,0.02,98.0,31.62,15.11,0.32
445,88.0,0.05,95.0,28.28,6.78,0.32
46,86.0,0.03,97.0,58.49,3.87,0.33

46,96.0,0.01,99.0,39.3,14.79,0.33
47,100.0,0.0,100.0,27.14,14.77,0.3
47,84.0,0.06,94.0,48.8,7.23,0.3
48,100.0,0.0,100.0,39.26,15.35,0.3
48,98.0,0.01,99.0,33.58,7.39,0.3
48,38.0,0.19,81.0,44.73,1.7,0.3
49,98.0,0.0,100.0,25.21,15.7,0.38

49,100.0,0.0,100.0,39.36,14.42,0.38
49,88.0,0.04,96.0,33.13,7.33,0.38
50,86.0,0.05,95.0,47.28,6.41,0.31

50,96.0,0.02,98.0,36.85,14.0,0.31

51,68.0,0.12,88.0,70.22,3.27,0.35

51,98.0,0.0,100.0,9.34,15.57,0.35
51,100.0,0.0,100.0,37.66,14.96,0.35
52,96.0,0.01,99.0,24.24,6.75,0.29
5252,100.0,0.0,100.0,66.97,15.84,0.29
53,78.0,0.08,92.0,38.79,6.59,0.31
53,70.0,0.1,90.0,97.62,2.52,0.31
1
54,100.0,0.0,100.0,28.04,14.84,0.29
54,56.0,0.17,83.0,49.03,2.94,0.29

55,100.0,0.0,100.0,21.12,15.6,0.2955,100.0,0.0,100.0,21.66,16.0,0.29
555,86.0,0.02,98.0,63.57,6.66,0.29
56,100.0,0.0,100.0,21.71,15.88,0.32
57,100.0,0.0,100.0,47.51,15.84,0.28
57,88.0,0.02,98.0,61.07,6.61,0.28

57,96.0,0.01,99.0,37.59,15.58,0.28

58,56.0,0.09,91.0,57.74,2.77,0.28

59,88.0,0.06,94.0,44.62,7.85,0.2959,100.0,0.0,100.0,8.95,15.64,0.29

60,100.0,0.0,100.0,41.2,15.88,0.28

60,100.0,0.0,100.0,12.8,15.52,0.28
61,98.0,0.01,99.0,54.87,16.0,0.29
61,100.0,0.0,100.0,46.23,15.36,0.29
61,100.0,0.0,100.0,26.48,16.0,0.29
62,96.0,0.0,100.0,32.15,7.48,0.28
62,94.0,0.01,99.0,35.5,7.8,0.28
8
63,96.0,0.02,98.0,54.93,7.23,0.27


63,100.0,0.0,100.0,40.78,15.52,0.27
64,98.0,0.01,99.0,30.85,7.94,0.29


65,78.0,0.07,93.0,68.08,2.92,0.28


66,100.0,0.0,100.0,19.57,15.72,0.28
66,98.0,0.01,99.0,38.13,15.85,0.266,100.0,0.0,100.0,41.35,8.0,0.28
67,100.0,0.0,100.0,33.95,15.36,0.29
67,100.0,0.0,100.0,43.2,15.86,0.29
68,100.0,0.0,100.0,32.37,15.16,0.32
8,100.0,0.0,100.0,51.74,15.28,0.32
69,100.0,0.0,100.0,42.79,15.88,0.369,98.0,0.0,100.0,22.01,15.88,0.3

69,100.0,0.0,100.0,38.88,16.0,0.3
70,90.0,0.0,100.0,47.34,6.96,0.29

70,100.0,0.0,100.0,29.56,14.8,0.29
70,100.0,0.0,100.0,39.2,14.84,0.29
71,100.0,0.0,100.0,53.9,15.76,0.28
1,100.0,0.0,100.0,36.23,15.52,0.28
72,98.0,0.0,100.0,32.11,7.72,0.28

72,96.0,0.0,100.0,52.13,7.76,0.28
72,100.0,0.0,100.0,19.62,15.6,0.28
73,100.0,0.0,100.0,42.72,7.21,0.29
73,100.0,0.0,100.0,41.65,7.94,0.29
74,100.0,0.0,100.0,39.2,14.88,0.27
74,100.0,0.0,100.0,55.22,14.8,0.27
74,92.0,0.03,97.0,38.35,14.48,0.27
74,94.0,0.01,99.0,55.29,14.2,0.27
74,74.0,0.05,95.0,53.11,3.87,0.27
74,98.0,0.0,100.0,42.86,14.74,0.27
74,52.0,0.16,84.0,54.32,6.2,0.27
74,90.0,0.01,99.0,100.77,6.05,0.27
75,48.0,0.13,87.0,99.36,3.14,0.29


76,94.0,0.01,99.0,43.3,13.77,0.28

,78.0,0.08,92.0,51.1,6.49,0.28
76,94.0,0.01,99.0,66.12,15.0,0.28
77,100.0,0.0,100.0,34.7,16.0,0.28
77,78.0,0.08,92.0,37.43,3.48,0.28

77,94.0,0.0,100.0,41.88,7.22,0.28
78,96.0,0.02,98.0,79.29,14.47,0.31
78,94.0,0.0,100.0,24.27,15.13,0.31
79,100.0,0.0,100.0,43.96,16.0,0.27

79,54.0,0.11,89.0,49.18,1.64,0.27
80,92.0,0.0,100.0,80.13,6.92,0.3

,80,94.0,0.01,99.0,48.91,7.23,0.3
81,100.0,0.0,100.0,25.16,15.44,0.28
81,100.0,0.0,100.0,55.71,16.0,0.28

82,100.0,0.0,100.0,25.14,16.0,0.36882,98.0,0.01,99.0,49.84,7.81,0.36

82,100.0,0.0,100.0,40.33,16.0,0.36
83,94.0,0.01,99.0,59.19,7.26,0.28
883,76.0,0.09,91.0,40.09,3.76,0.28
84,100.0,0.0,100.0,24.51,7.76,0.32
84,100.0,0.0,100.0,17.43,7.72,0.32
85,100.0,0.0,100.0,28.86,15.92,0.3
5,34.0,0.13,87.0,50.04,1.94,0.3

85,100.0,0.0,100.0,19.19,7.96,0.3
86,92.0,0.01,99.0,61.6,7.27,0.29

86,100.0,0.0,100.0,38.57,16.0,0.29
87,100.0,0.0,100.0,28.5,15.92,0.27
87,100.0,0.0,100.0,19.04,15.92,0.27
88,100.0,0.0,100.0,11.87,16.0,0.27
88,98.0,0.0,100.0,21.58,7.94,0.27
88,100.0,0.0,100.0,26.6,15.92,0.27
89,88.0,0.0,100.0,32.12,3.68,0.27

89,100.0,0.0,100.0,44.8,16.0,0.27
989,100.0,0.0,100.0,29.48,7.94,0.27
90,98.0,0.01,99.0,38.57,7.86,0.29
90,100.0,0.0,100.0,66.23,16.0,0.29
90,84.0,0.06,94.0,47.29,7.39,0.29
91,94.0,0.01,99.0,43.81,7.56,0.27
91,96.0,0.0,100.0,45.03,7.56,0.27
91,96.0,0.02,98.0,11.2,7.93,0.27
92,100.0,0.0,100.0,36.2,16.0,0.29

92,100.0,0.0,100.0,45.77,16.0,0.29
93,96.0,0.01,99.0,16.42,15.58,0.27
93,100.0,0.0,100.0,60.92,7.17,0.27

93,100.0,0.0,100.0,78.25,16.0,0.27
94,100.0,0.0,100.0,17.81,16.0,0.28
94,100.0,0.0,100.0,14.44,15.92,0.28
95,98.0,0.01,99.0,21.31,16.0,0.29
95,90.0,0.03,97.0,46.38,3.7,0.29

95,100.0,0.0,100.0,15.21,16.0,0.29
96,100.0,0.0,100.0,53.05,16.0,0.2896,100.0,0.0,100.0,23.78,15.28,0.28

97,100.0,0.0,100.0,31.25,15.04,0.2997,100.0,0.0,100.0,41.41,15.2,0.29
97,100.0,0.0,100.0,56.58,15.14,0.29
97,100.0,0.0,100.0,55.75,14.32,0.29
97,100.0,0.0,100.0,49.93,7.58,0.29
97,100.0,0.0,100.0,48.8,15.36,0.29
98,94.0,0.0,100.0,53.75,6.54,0.29
98,92.0,0.02,98.0,55.23,6.43,0.29

99,96.0,0.0,100.0,78.5,7.36,0.29

99,80.0,0.07,93.0,44.69,7.13,0.29
100,100.0,0.0,100.0,18.47,15.86,0.3100,100.0,0.0,100.0,17.57,15.43,0.3100,96.0,0.01,99.0,45.84,7.32,0.3

101,86.0,0.05,95.0,58.58,3.47,0.28

101,92.0,0.02,98.0,82.26,6.84,0.28
102,100.0,0.0,100.0,40.22,16.0,0.27

102,100.0,0.0,100.0,38.27,16.0,0.27
103,98.0,0.01,99.0,37.01,7.44,0.28

103,100.0,0.0,100.0,48.27,15.88,0.28
104,100.0,0.0,100.0,22.67,16.0,0.29

,100.0,0.0,100.0,36.71,15.76,0.29
104,100.0,0.0,100.0,28.11,15.92,0.29
105,100.0,0.0,100.0,33.94,15.64,0.28
106,28.0,0.25,75.0,74.58,1.65,0.27

106,96.0,0.02,98.0,35.84,7.67,0.27
106,100.0,0.0,100.0,36.68,16.0,0.27
106,100.0,0.0,100.0,31.04,16.0,0.27
106,100.0,0.0,100.0,22.62,16.0,0.27
107,98.0,0.01,99.0,39.02,7.75,0.3

107,100.0,0.0,100.0,51.72,16.0,0.3107,100.0,0.0,100.0,25.05,16.0,0.3
107,100.0,0.0,100.0,17.2,16.0,0.3
108,100.0,0.0,100.0,47.41,7.71,0.34
108,100.0,0.0,100.0,33.87,16.0,0.34
109,98.0,0.0,100.0,25.11,15.85,0.29

109,100.0,0.0,100.0,21.51,16.0,0.29
110,100.0,0.0,100.0,39.36,16.0,0.29
110,100.0,0.0,100.0,29.32,16.0,0.29110,94.0,0.0,100.0,44.6,7.22,0.29
110,100.0,0.0,100.0,55.45,16.0,0.29
111,14.0,0.3,70.0,65.92,1.4,0.29
9
111,100.0,0.0,100.0,10.23,16.0,0.29
111,100.0,0.0,100.0,31.71,16.0,0.29
112,100.0,0.0,100.0,42.57,16.0,0.3
112,100.0,0.0,100.0,53.69,7.9,0.3

12,100.0,0.0,100.0,28.18,16.0,0.3
113,100.0,0.0,100.0,19.37,16.0,0.35
113,100.0,0.0,100.0,14.48,16.0,0.35
113,96.0,0.01,99.0,38.13,7.73,0.35
113,100.0,0.0,100.0,25.82,7.8,0.35
113,100.0,0.0,100.0,30.83,16.0,0.35
114,100.0,0.0,100.0,57.9,16.0,0.3


114,100.0,0.0,100.0,18.99,7.97,0.3
114,100.0,0.0,100.0,27.65,16.0,0.3
115,100.0,0.0,100.0,50.43,7.96,0.33
115,100.0,0.0,100.0,27.47,15.84,0.33
116,96.0,0.0,100.0,36.89,7.8,0.31


116,100.0,0.0,100.0,33.48,15.88,0.31
116,100.0,0.0,100.0,30.11,16.0,0.31
116,100.0,0.0,100.0,39.38,16.0,0.31
117,100.0,0.0,100.0,11.38,16.0,0.33
117,34.0,0.33,67.0,66.0,7.19,0.33
117,98.0,0.01,99.0,40.4,15.96,0.33
118,32.0,0.2,80.0,80.29,7.68,0.31
1
118,96.0,0.02,98.0,39.83,8.0,0.31


118,92.0,0.04,96.0,30.04,7.95,0.31
118,96.0,0.02,98.0,19.42,15.82,0.31
119,92.0,0.04,96.0,42.38,15.96,0.32
119,96.0,0.02,98.0,18.35,16.0,0.32
119,98.0,0.01,99.0,24.29,15.85,0.32
120,-2.0,0.51,49.0,269.58,6.03,0.31

120,-20.0,0.6,40.0,277.37,6.5,0.31
120,98.0,0.01,99.0,14.88,16.0,0.31

121,100.0,0.0,100.0,7.33,16.0,0.3
121,100.0,0.0,100.0,14.0,16.0,0.3
121,72.0,0.06,94.0,73.56,3.93,0.3

122,100.0,0.0,100.0,9.94,16.0,0.28


122,100.0,0.0,100.0,17.15,15.84,0.28
123,100.0,0.0,100.0,36.35,8.0,0.28123,98.0,0.01,99.0,20.54,7.88,0.28

124,98.0,0.01,99.0,25.68,7.9,0.3

124,82.0,0.07,93.0,37.95,3.63,0.3

125,100.0,0.0,100.0,48.12,16.0,0.27
125,100.0,0.0,100.0,62.55,11.19,0.27
125,64.0,0.07,93.0,40.55,4.64,0.27
126,28.0,0.21,79.0,58.95,1.87,0.3

1126,100.0,0.0,100.0,23.87,16.0,0.3
127,98.0,0.01,99.0,38.95,7.94,0.31

127,100.0,0.0,100.0,30.98,7.54,0.31

128,88.0,0.06,94.0,76.55,3.79,0.29

128,100.0,0.0,100.0,29.9,8.0,0.29
128,100.0,0.0,100.0,19.25,15.98,0.29
129,100.0,0.0,100.0,46.53,16.0,0.36
129,68.0,0.1,90.0,49.71,3.19,0.36
129,100.0,0.0,100.0,9.1,15.92,0.36

129,100.0,0.0,100.0,22.13,7.96,0.36
130,54.0,0.07,93.0,65.6,1.94,0.33
130,100.0,0.0,100.0,24.11,16.0,0.33

130,100.0,0.0,100.0,28.14,16.0,0.33
